EmpID,LastName,FirstName,Address,City,State,Zip,Telephone,Hiredate,Dept,Location,WorkPhone,M-S,Budget,Grade,Step,Salary,LastChg,Vested,HealthPlan,SupervisorName,SuprPhone
11972,Wentworth,Cathy,300 Airport Way,Renton,WA,98055,(425) 227-1197,2/1/1988,ACCT,Renton,(425) 393-1197,BB-27,A-1834,10,3,"$3,497.30",1/1/2018,Yes,Regence BlueShield,Barbara Carrera,(206) 393-2000
12002,Smith,Steve,20717 Pacific Hwy. S.,Seattle,WA,98188,(206) 452-1200,3/2/1988,ACCT,Renton,(425) 393-1200,BB-27,A-1834,8,5,"$3,197.10",1/1/2018,Yes,Regence BlueShield,Barbara Carrera,(206) 393-2000
12003,Larsen,Joanne,1402 20Th St. Nw #7,Auburn,WA,98001,(253) 833-1200,3/3/1988,PROD,Renton,(425) 393-1200,PB-18,R-1779,18,5,"$4,923.23",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
12133,Madison,Don,3611 St. Ne #177,Auburn,WA,98002,(253) 833-1213,7/11/1988,PROD,Renton,(425) 393-1213,PB-21,R-1779,7,2,"$2,956.94",1/1/2018,Yes,UW Medicine ,Frank Borman,(206) 393-1265
12147,Klein,Sheila,20202 84Th Ave. S.,Kent,WA,98032,(253) 872-1214,7/25/1988,SALE,Bellevue,(425) 882-1214,HG-12,S-3006,11,2,"$3,647.40",1/1/2018,Yes,UW Medicine ,Bob Stewart,(206) 882-1590
12158,Jones,Bonnie,1600 Auburn Way North,Auburn,WA,98002,(253) 833-1215,8/5/1988,PROD,Seattle,(206) 221-1215,QR-19,R-5321,2,1,"$2,071.35",1/1/2018,Yes,Group Health,Bill Harrison,(206) 221-2205
12168,Grover,Dennis,1520 Sw Grady Way,Renton,WA,98055,(425) 227-1216,8/15/1988,ENGR,Renton,(425) 393-1216,XJ-67,E-1089,8,1,"$3,107.03",1/1/2018,Yes,Group Health,Dave Morgan,(206) 393-2002
12196,Peterson,George,3002 Lind Ave. Sw,Renton,WA,98055,(425) 227-1219,9/12/1988,PROD,Renton,(425) 393-1219,PB-21,R-1779,8,4,"$3,174.59",1/1/2018,Yes,Regence BlueShield,Frank Borman,(206) 393-1265
12215,Cort,Roberta,"515 W. Harrison, #125",Kent,WA,98032,(253) 872-1221,10/1/1988,PROD,Seattle,(206) 221-1221,QR-07,R-2661,5,4,"$2,656.74",1/1/2018,Yes,Regence BlueShield,Eleanor Lancaster,(206) 221-1124
12224,DeCosta,Wally,5720 South 296Th Pl.,Auburn,WA,98001,(253) 833-1222,10/10/1988,PROD,Renton,(425) 393-1222,PB-21,R-1779,5,3,"$2,634.23",1/1/2018,Yes,Group Health,Frank Borman,(206) 393-1265
12244,Apperly,Ward,19808 W. Valley Hwy.,Kent,WA,98032,(253) 872-1224,10/30/1988,PROD,Renton,(425) 393-1224,PB-14,R-1779,8,3,"$3,152.07",1/1/2018,Yes,Group Health,Molly Goldberg,(206) 393-1513
12255,Sievers,Harriet,1300 Bronson Way N.,Renton,WA,98055,(425) 227-1225,11/10/1988,PROD,Seattle,(206) 221-1225,QR-35,R-2661,8,4,"$3,174.59",1/1/2018,Yes,Regence BlueShield,Marsha Mosley,(206) 221-1975
12257,Berry,Frank,22005 84Th Ave. S.,Kent,WA,98032,(253) 872-1225,11/12/1988,SALE,Bellevue,(425) 882-1225,HG-12,S-3006,13,4,"$4,037.64",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
12278,Gribben,David,"4507 Pacific Hwy. E, #A-2",Tacoma,WA,98424,(360) 575-1227,12/3/1988,ENGR,Renton,(425) 393-1227,XJ-67,E-1089,13,4,"$4,037.64",1/1/2018,Yes,Regence BlueShield,Dave Morgan,(206) 393-2002
12287,Cato,Anthony,1216 N. 4Th Ave.,Kent,WA,98032,(253) 872-1228,12/12/1988,SALE,Bellevue,(425) 882-1228,HG-12,S-3006,14,6,"$4,255.29",1/1/2018,Yes,UW Medicine ,Bob Stewart,(206) 882-1590
12370,Arthur,Diane,7710 Lake Washington Blvd. Se,Renton,WA,98056,(425) 226-1237,3/5/1989,MKTG,Bellevue,(425) 882-1237,RL-27,M-1211,20,5,"$5,268.45",1/1/2018,Yes,Regence BlueShield,Wes Adams,(206) 221-1958
12375,Tracy,Jean,200 Mill Ave. S.,Renton,WA,98055,(425) 227-1237,3/10/1989,PROD,Seattle,(206) 221-1237,QR-10,R-2661,12,2,"$3,820.01",1/1/2018,Yes,Group Health,Peggy Kramer,(206) 221-2083
12461,Leonhardt,Lowell,12510 Se Petrovitsky Rd.,Renton,WA,98058,(425) 226-1246,6/4/1989,PROD,Renton,(425) 393-1246,PB-18,R-1779,19,5,"$5,095.83",1/1/2018,Yes,Group Health,Frank Sullivan,(206) 393-1000
12466,Hartman,Helen,122 3Rd St. Ne,Auburn,WA,98002,(253) 833-1246,6/9/1989,PROD,Seattle,(206) 221-1246,QR-10,R-2661,8,1,"$3,107.03",1/1/2018,Yes,Regence BlueShield,Peggy Kramer,(206) 221-2083
12471,Howard,Paul,1619 Auburn Way North,Auburn,WA,98002,(253) 833-1247,6/14/1989,PROD,Seattle,(206) 221-1247,QR-12,R-2661,5,1,"$2,589.18",1/1/2018,Yes,Regence BlueShield,Harry Hillis,(206) 221-2179
12525,Weston,Albert,2702 West Valley Hwy. North,Auburn,WA,98001,(253) 833-1252,8/7/1989,PROD,Seattle,(206) 221-1252,QR-12,R-2661,19,1,"$5,005.76",1/1/2018,Yes,Group Health,Harry Hillis,(206) 221-2179
12550,Costello,John,238 8Th St. Se,Auburn,WA,98002,(253) 833-1255,9/1/1989,MKTG,Bellevue,(425) 882-1255,RL-27,M-1211,1,1,"$1,898.75",1/1/2018,Yes,Group Health,Bob Shavers,(206) 882-1281
12655,Borman,Frank,25815 111Th Ave. S.E.,Kent,WA,98031,(253) 872-1265,12/15/1989,PROD,Renton,(425) 393-1265,PB-21,R-1779,20,6,"$5,290.97",1/1/2018,Yes,UW Medicine ,Wes Adams,(206) 221-1958
12672,Ewing,Robert,4000 Maple Valley Hwy.,Renton,WA,98058,(425) 226-1267,1/1/1990,ACCT,Seattle,(206) 221-1267,BX-45,A-1834,15,6,"$4,427.91",1/1/2018,Yes,UW Medicine ,Val Johnson,(206) 221-1958
12677,Gray,James,7601 S. 190Th,Kent,WA,98032,(253) 872-1267,1/6/1990,SALE,Bellevue,(425) 882-1267,HG-12,S-3006,11,3,"$3,669.92",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
12699,Diaz,Carol,14719 S.E. 272Nd Street,Kent,WA,98042,(253) 872-1269,1/28/1990,PROD,Seattle,(206) 221-1269,QR-19,R-5321,18,3,"$4,878.20",1/1/2018,Yes,Regence BlueShield,Bill Harrison,(206) 221-2205
12752,Giles,Peter,18821 90Th Ave. S.,Kent,WA,98031,(253) 872-1275,3/22/1990,ACCT,Seattle,(206) 221-1275,BX-45,A-1834,11,2,"$3,647.40",1/1/2018,Yes,Group Health,Val Johnson,(206) 221-1958
12810,Shavers,Robert,14413 Se 128Th,Renton,WA,98056,(425) 226-1281,5/19/1990,MKTG,Bellevue,(425) 882-1281,RL-27,M-1211,18,5,"$4,923.23",1/1/2018,Yes,Group Health,Diane Arthur,(206) 882-1237
12957,Ward,Candy,5869 S. 194Th,Kent,WA,98032,(253) 872-1295,10/13/1990,SALE,Bellevue,(425) 882-1295,HG-12,S-3006,12,3,"$3,842.52",1/1/2018,Yes,Group Health,Bob Stewart,(206) 882-1590
13001,Roth,Bill,22230 Russell Rd.,Kent,WA,98032,(253) 872-1300,11/26/1990,PROD,Seattle,(206) 221-1300,QR-12,R-2661,18,4,"$4,900.71",1/1/2018,Yes,Regence BlueShield,Harry Hillis,(206) 221-2179
13007,Covello,Charlotte,1833 Auburn N Ste. B,Auburn,WA,98002,(253) 833-1300,12/2/1990,SALE,Bellevue,(425) 882-1300,HG-12,S-3006,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
13040,Reynolds,Jonathan,1000 Sw 7Th St.,Renton,WA,98055,(425) 227-1304,1/4/1991,MKTG,Bellevue,(425) 882-1304,RL-27,M-1211,18,6,"$4,945.74",1/1/2018,Yes,UW Medicine ,Diane Arthur,(206) 882-1237
13048,Horton,Bart,3501 C St. Ne,Auburn,WA,98002,(253) 833-1304,1/12/1991,PROD,Renton,(425) 393-1304,PB-18,R-1779,16,3,"$4,532.97",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
13066,Kalman,Donna,3941 B Street,Auburn,WA,98001,(253) 833-1306,1/30/1991,PROD,Renton,(425) 393-1306,PB-21,R-1779,15,3,"$4,360.37",1/1/2018,Yes,Regence BlueShield,Frank Borman,(206) 393-1265
13067,Kowalski,John,1212 Dayton Ave. Ne,Renton,WA,98056,(425) 226-1306,1/31/1991,SALE,Bellevue,(425) 882-1306,HG-12,S-3006,9,3,"$3,324.68",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
13070,Vaughn,Carole,3401 Auburn Way North,Auburn,WA,98002,(253) 833-1307,2/3/1991,MKTG,Bellevue,(425) 882-1307,RL-27,M-1211,8,3,"$3,152.07",1/1/2018,Yes,Regence BlueShield,Barry Slatta,(206) 882-2246
13077,Hegarty,Sharon,19015 66Th Ave. S.,Kent,WA,98032,(253) 872-1307,2/10/1991,SALE,Bellevue,(425) 882-1307,HG-12,S-3006,5,5,"$2,679.26",1/1/2018,Yes,Regence BlueShield,Bob Stewart,(206) 882-1590
13255,Blair,Carolyn,1813 Howard Rd.,Auburn,WA,98002,(253) 833-1325,8/7/1991,ENGR,Renton,(425) 393-1325,XJ-67,E-1089,15,1,"$4,315.32",1/1/2018,Yes,Group Health,Dave Morgan,(206) 393-2002
13343,Simpson,Paul,3290 B. St.,Auburn,WA,98001,(253) 833-1334,11/3/1991,PROD,Seattle,(206) 221-1334,QR-12,R-2661,1,3,"$1,943.79",1/1/2018,Yes,Group Health,Harry Hillis,(206) 221-2179
13346,Collins,Nancy,1411 R St. Nw,Auburn,WA,98001,(253) 833-1334,11/6/1991,PROD,Renton,(425) 393-1334,PB-21,R-1779,5,4,"$2,656.74",1/1/2018,Yes,Regence BlueShield,Frank Borman,(206) 393-1265
13348,Schneider,Chris,25414 104Th Ave. S.E.,Kent,WA,98031,(253) 872-1334,11/8/1991,ENGR,Renton,(425) 393-1334,XJ-67,E-1089,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Dave Morgan,(206) 393-2002
13410,Hagman,Margo,20 Auburn Way South,Auburn,WA,98002,(253) 833-1341,1/9/1992,MKTG,Bellevue,(425) 882-1341,RL-27,M-1211,2,3,"$2,116.40",1/1/2018,Yes,Regence BlueShield,Jon Reynolds,(425) 882-1304
13564,Nicholson,Harold,550 Sw 7Th,Renton,WA,98055,(425) 227-1356,6/11/1992,PROD,Renton,(425) 393-1356,PB-14,R-1779,11,1,"$3,624.87",1/1/2018,Yes,Regence BlueShield,Molly Goldberg,(206) 393-1513
13666,Purcell,Paul,22911 86Th Ave. S.,Kent,WA,98031,(253) 872-1366,9/21/1992,PROD,Seattle,(206) 221-1366,QR-19,R-5321,5,4,"$2,656.74",1/1/2018,Yes,Regence BlueShield,Bill Harrison,(206) 221-2205
13668,Jarrett,Lynn,345 Union Ave. Ne,Renton,WA,98056,(425) 226-1366,9/23/1992,PROD,Seattle,(206) 221-1366,QR-27,R-2661,20,4,"$5,245.94",1/1/2018,Yes,Regence BlueShield,Wes Adams,(206) 221-1958
13751,Hildermann,Don,448 W. Main St.,Auburn,WA,98001,(253) 833-1375,12/15/1992,PROD,Seattle,(206) 221-1375,QR-27,R-2661,10,6,"$3,564.84",1/1/2018,Yes,UW Medicine ,Lynn Jarret,(206) 221-1366
13895,Pierce,Sam,1037 Thomas Ave. Sw,Renton,WA,98055,(425) 227-1389,5/8/1993,PROD,Seattle,(206) 221-1389,QR-06,R-5321,3,5,"$2,334.05",1/1/2018,Yes,Group Health,Joe Stone,(206) 221-2252
13989,Lewis,John,22257 W. Valley Hwy.,Kent,WA,98032,(253) 872-1398,8/10/1993,PROD,Renton,(425) 393-1398,PB-21,R-1779,15,1,"$4,315.32",1/1/2018,Yes,Group Health,Frank Borman,(206) 393-1265
14082,Farmer,Lou,232 C St. Nw,Auburn,WA,98001,(253) 833-1408,11/11/1993,ACCT,Seattle,(206) 221-1408,BX-45,A-1834,8,4,"$3,174.59",1/1/2018,Yes,Regence BlueShield,Val Johnson,(206) 221-1958
14084,Taft,Jerry,21202 Pacific Hwy. S.,Des Moines,WA,98027,(253) 775-1408,11/13/1993,PROD,Renton,(425) 393-1408,PB-18,R-1779,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
14219,Bates,Eileen,701 15Th Sw,Auburn,WA,98001,(253) 833-1421,3/28/1994,PROD,Seattle,(206) 221-1421,QR-31,R-5321,7,2,"$2,956.94",1/1/2018,Yes,Group Health,Bob Irwin,(206) 221-1549
14249,Ferris,Cindy,"9725 3Rd N.E., #400",Seattle,WA,98115,(206) 452-1424,4/27/1994,ENGR,Renton,(425) 393-1424,XJ-67,E-1089,12,6,"$3,910.07",1/1/2018,Yes,UW Medicine ,Dave Rogers,(206) 393-1973
14306,Heinemann,Donald,13020 Lake Kathleen Rd. Se,Renton,WA,98056,(425) 226-1430,6/23/1994,PROD,Seattle,(206) 221-1430,QR-31,R-5321,14,1,"$4,142.70",1/1/2018,Yes,Regence BlueShield,Bob Irwin,(206) 221-1549
14385,Cullen,Bruce,112 3Rd St. Nw,Auburn,WA,98002,(253) 833-1438,9/10/1994,PROD,Seattle,(206) 221-1438,QR-07,R-2661,18,4,"$4,900.71",1/1/2018,Yes,Regence BlueShield,Eleanor Lancaster,(206) 221-1124
14441,Corcoran,Joyce,1420 Auburn Way South,Auburn,WA,98002,(253) 833-1444,11/5/1994,PROD,Renton,(425) 393-1444,PB-21,R-1779,2,4,"$2,138.91",1/1/2018,Yes,Regence BlueShield,Frank Borman,(206) 393-1265
14456,Parks,Vickie,941 Powell Ave. Sw Ste. 100,Renton,WA,98055,(425) 227-1445,11/20/1994,PROD,Seattle,(206) 221-1445,QR-06,R-5321,8,4,"$3,174.59",1/1/2018,Yes,Regence BlueShield,Joe Stone,(206) 221-2252
14473,Lansing,Elaine,10432 Kent-Kangley,Kent,WA,98031,(253) 872-1447,12/7/1994,PROD,Seattle,(206) 221-1447,QR-06,R-5321,17,6,"$4,773.14",1/1/2018,Yes,UW Medicine ,Joe Stone,(206) 221-2252
14665,Erickson,Ron,15 S. Grady Way,Renton,WA,98055,(425) 227-1466,6/17/1995,PROD,Seattle,(206) 221-1466,QR-06,R-5321,12,1,"$3,797.48",1/1/2018,Yes,Regence BlueShield,Joe Stone,(206) 221-2252
14666,Buchanan,Kevin,299 Rainier Ave S.,Renton,WA,98055,(425) 227-1466,6/17/1995,PROD,Seattle,(206) 221-1466,QR-12,R-2661,2,1,"$2,071.35",1/1/2018,Yes,Regence BlueShield,Harry Hillis,(206) 221-2179
14731,Spencer,Julia,239 Sw 41St Bldg. 11,Renton,WA,98055,(425) 227-1473,8/22/1995,PROD,Renton,(425) 393-1473,PB-21,R-1779,19,1,"$5,005.76",1/1/2018,Yes,Group Health,Frank Borman,(206) 393-1265
14750,Cleveland,Patricia,60 S. Grady Way,Renton,WA,98055,(425) 227-1475,9/10/1995,MKTG,Bellevue,(425) 882-1475,RL-27,M-1211,15,4,"$4,382.88",1/1/2018,Yes,Regence BlueShield,Jon Reynolds,(425) 882-1304
14783,Olmstead,Ann,200 Sw 16Th,Renton,WA,98055,(425) 227-1478,10/13/1995,PROD,Seattle,(206) 221-1478,QR-19,R-5321,1,3,"$1,943.79",1/1/2018,Yes,Group Health,Bill Harrison,(206) 221-2205
14809,Jenkins,Angela,3915 Talbot Rd. S. Ste. 209,Renton,WA,98055,(425) 227-1480,11/8/1995,PROD,Seattle,(206) 221-1480,QR-27,R-2661,1,4,"$1,966.31",1/1/2018,Yes,Regence BlueShield,Lynn Jarret,(206) 221-1366
14875,Ford,Jean,21229 84Th Avenue S.,Kent,WA,98032,(253) 872-1487,1/13/1996,PROD,Seattle,(206) 221-1487,QR-31,R-5321,1,3,"$1,943.79",1/1/2018,Yes,Regence BlueShield,Bob Irwin,(206) 221-1549
14905,Grout,Patricia,14410 Se Petrovitsky,Renton,WA,98058,(425) 226-1490,2/12/1996,PROD,Renton,(425) 393-1490,PB-18,R-1779,5,5,"$2,679.26",1/1/2018,Yes,Regence BlueShield,Frank Sullivan,(206) 393-1000
14921,Corbett,Jessica,17220 140Th Se,Renton,WA,98058,(425) 226-1492,2/28/1996,PROD,Renton,(425) 393-1492,PB-14,R-1779,19,5,"$5,095.83",1/1/2018,Yes,Regence BlueShield,Molly Goldberg,(206) 393-1513
14950,Monroe,Jon,516 Kenosia,Kent,WA,98031,(253) 872-1495,3/28/1996,MKTG,Bellevue,(425) 882-1495,RL-27,M-1211,8,2,"$3,129.56",1/1/2018,Yes,Group Health,Jon Reynolds,(425) 882-1304
14995,Turner,Maureen,4108 Jones Ave. Ne,Renton,WA,98056,(425) 226-1499,5/12/1996,PROD,Seattle,(206) 221-1499,QR-19,R-5321,19,5,"$5,095.83",1/1/2018,Yes,Group Health,Bill Harrison,(206) 221-2205
